cusip,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,error
984015503,Domestic Common Stock Primary Class,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,
98880C110,Domestic Common Stock Warrant,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
G1330L105,ADR Common Stock Primary Class,Consumer Cyclical,Publishing,7310,Services,Services-Advertising,,Business Services,
G00496102,Domestic Common Stock,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
G1686P122,Domestic Common Stock Warrant,Healthcare,Biotechnology,2836,Manufacturing,Biological Products (No Disgnostic Substances),,Pharmaceutical Products,
G6293R106,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
G26507122,Domestic Common Stock Secondary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
G6448C103,ADR Common Stock Primary Class,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,
G66139117,Domestic Common Stock Secondary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
G7823W102,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
G0R45S117,ADR Common Stock Warrant,Industrials,Integrated Freight & Logistics,4731,Transportation Communications Electric Gas And Sanitary Service,Arrangement Of Transportation Of Freight & Cargo,,Transportation,
G79471101,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
G80694105,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
G86656108,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
G25741102,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
007024102,Domestic Common Stock Primary Class,Financial Services,Capital Markets,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
00809J200,Domestic Common Stock Secondary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,
36872P103,Domestic Common Stock,Technology,Scientific & Technical Instruments,3651,Manufacturing,Household Audio & Video Equipment,,Recreation,
M5R635116,ADR Common Stock Warrant,Consumer Cyclical,Auto Parts,3714,Manufacturing,Motor Vehicle Parts & Accessories,,Automobiles and Trucks,
78396V109,Domestic Common Stock,Healthcare,Health Information Services,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,
746237106,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,
